anchor_date,actual_trading_date,sector,sector_score,metric,current_value,five_year_average,metric_coefficient,metric_weight,source,comment,status
2026-06-06,2026-06-05,Agriculture & Chemicals,1.072,pe,33.1763,31.60965,1.0496,0.2941,build_fy_norm.py --current over SEC EDGAR; fyn_agriculture_chemicals_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_agriculture_chemicals_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_agriculture_chemicals_norm_summary.csv; aggregate=median,ok
2026-06-06,2026-06-05,Agriculture & Chemicals,1.072,ev_ebitda,17.695,15.449525,1.1453,0.2941,build_fy_norm.py --current over SEC EDGAR; fyn_agriculture_chemicals_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_agriculture_chemicals_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_agriculture_chemicals_norm_summary.csv; aggregate=median,ok
2026-06-06,2026-06-05,Agriculture & Chemicals,1.072,ps,3.7794,3.992025,0.9467,0.2353,build_fy_norm.py --current over SEC EDGAR; fyn_agriculture_chemicals_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_agriculture_chemicals_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_agriculture_chemicals_norm_summary.csv; aggregate=median,ok
2026-06-06,2026-06-05,Agriculture & Chemicals,1.072,fcf_yield,0.032171,0.037134,1.1543,0.1765,build_fy_norm.py --current over SEC EDGAR; fyn_agriculture_chemicals_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_agriculture_chemicals_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_agriculture_chemicals_norm_summary.csv; aggregate=median,ok
2026-02-28,2026-02-27,Banks,1.7214,pb,2.0411,1.0743,1.8999,0.6364,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-02-28,2026-02-27,Banks,1.7214,pe,14.1971,10.0769,1.4089,0.3636,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-03-10,2026-03-10,Banks,1.6654,pb,1.9799,1.0743,1.843,0.6364,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-03-10,2026-03-10,Banks,1.6654,pe,13.6502,10.0769,1.3546,0.3636,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-03-20,2026-03-20,Banks,1.6332,pb,1.9318,1.0743,1.7982,0.6364,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-03-20,2026-03-20,Banks,1.6332,pe,13.5476,10.0769,1.3444,0.3636,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
